postcode,latitude,longitude
B297,52.443332,-1.927544
B299,52.438270,-1.935805
B301,52.423798,-1.946825
B302,52.433601,-1.909292
B303,52.410671,-1.913823
B309,52.417163,-1.930145
B31,52.482745,-1.903802
B311,52.412707,-1.982917
B312,52.415130,-1.969375
B313,52.394520,-1.954473
B314,52.397296,-1.976000
B315,52.401694,-2.002778
B319,52.415364,-1.971154
B32,52.480800,-1.900508
B321,52.455481,-1.995556
B322,52.453000,-1.979000
B323,52.434121,-1.995028
B324,52.428547,-2.006015
B329,52.460704,-1.995232
B33,52.481214,-1.901111
B330,52.471920,-1.762691
B333,52.485730,-1.786871
B338,52.479440,-1.793659
B339,52.485531,-1.801922
B346,52.491738,-1.793514
B347,52.497913,-1.759532
B356,52.522055,-1.784809
B357,52.514995,-1.797884
B359,52.510000,-1.794000
B360,52.506115,-1.765616
B368,52.499002,-1.809860
B369,52.507278,-1.786192
B375,52.477499,-1.747629
B376,52.492694,-1.752874
B377,52.479001,-1.727655
B379,52.480308,-1.740898
B380,52.407265,-1.915961
B388,52.395390,-1.948358
B389,52.402090,-1.921144
B401,52.480307,-1.740898
B421,52.535337,-1.930445
B422,52.538586,-1.922434
B429,52.540077,-1.887444
B435,52.541683,-1.944162
B436,52.549000,-1.941000
B437,52.557485,-1.912681
B440,52.542993,-1.872573
B448,52.542032,-1.901992
B449,52.560174,-1.892688
B450,52.402364,-2.029661
B455,52.385934,-2.002909
B458,52.391409,-1.999383
B459,52.387327,-2.011754
B46,52.495953,-1.894214
B461,52.507595,-1.711271
B462,52.530406,-1.681006
B463,52.499301,-1.709087
B469,52.498142,-1.705795
B47,52.480689,-1.895472
B475,52.396810,-1.883075
B476,52.377119,-1.881688
B487,52.342000,-1.941000
B495,52.227645,-1.879376
B496,52.218765,-1.865319
B499,52.213988,-1.870221
B504,52.164410,-1.858202
B54,52.477386,-1.902474
B55,52.476894,-1.893126
B56,52.470491,-1.892611
B57,52.472879,-1.899156
B601,52.359053,-2.015932
B602,52.301000,-2.013000
B603,52.301000,-2.013000
B604,52.298096,-2.074754
B609,52.301000,-2.013000
B610,52.380000,-2.040000
B617,52.329829,-2.075660
B618,52.337320,-2.057576
B619,52.355350,-2.103894
B620,52.418385,-2.055050
B622,52.468767,-2.045833
B628,52.470757,-2.041676
B629,52.472981,-2.034832
B631,52.443983,-2.079740
B632,52.459427,-2.081298
B633,52.453848,-2.060407
B634,52.443870,-2.058628
B64,52.491832,-1.891690
B645,52.480522,-2.057867
B646,52.470000,-2.088000
B647,52.468826,-2.086880
B65,52.499832,-1.889932
B650,52.474694,-2.043343
B658,52.489366,-2.062267
B659,52.484153,-2.038375
B66,52.506124,-1.888753
B661,52.496420,-1.972648
B662,52.501128,-1.962893
B663,52.493296,-1.959983
B664,52.476900,-1.969111
B67,52.529907,-1.884492
B675,52.479625,-1.972069
B676,52.487618,-1.976629
B677,52.490000,-1.982000
B679,52.495071,-1.971956
B680,52.471708,-2.006566
B688,52.485031,-2.012900
B689,52.487863,-1.992078
B69,52.495952,-1.894214
B691,52.503697,-2.040130
B692,52.505983,-2.029923
B693,52.504314,-2.015867
B694,52.504979,-2.012199
B699,52.505069,-2.017120
B700,52.535938,-2.026096
B701,52.515040,-1.996258
B706,52.512612,-1.989966
B707,52.518258,-1.995756
B708,52.521009,-2.001769
B709,52.523994,-2.004231
B711,52.536688,-2.000841
B712,52.544895,-2.004469
B713,52.548012,-1.973294
B714,52.519714,-1.985248
B721,52.539647,-1.822084
B735,52.547061,-1.832569
B736,52.554344,-1.861493
B739,52.568642,-1.829167
B74,52.492690,-1.884177
B742,52.581415,-1.835404
B743,52.579067,-1.878770
B744,52.596249,-1.849654
B75,52.498950,-1.870991
B755,52.591293,-1.828120
B756,52.570232,-1.806218
B757,52.561577,-1.812924
B760,52.536941,-1.701363
B761,52.541255,-1.788519
B762,52.557740,-1.797703
B769,52.540632,-1.776726
B771,52.612791,-1.685193
B772,52.616612,-1.678578
B773,52.636387,-1.673764
B774,52.617273,-1.642431
B775,52.610603,-1.676732
B779,52.628164,-1.685201
B781,52.603845,-1.617380
B782,52.573470,-1.681963
B783,52.609699,-1.713377
B790,52.654231,-1.674607
B797,52.635154,-1.697755
B798,52.639472,-1.702100
B799,52.665190,-1.670918
B807,52.267681,-1.900457
B81,52.490378,-1.851650
B82,52.492464,-1.831612
B83,52.485721,-1.824466
B901,52.386307,-1.843006
B902,52.406410,-1.843508
B903,52.415144,-1.827760
B904,52.377655,-1.815860
B908,52.372713,-1.800458
B909,52.408102,-1.825730
B911,52.413135,-1.791704
B912,52.430865,-1.782576
B913,52.397546,-1.776493
B919,52.413696,-1.775228
B920,52.426107,-1.699215
B927,52.442000,-1.812000
B928,52.448560,-1.778796
B929,52.444587,-1.774622
B930,52.391801,-1.737199
B933,52.388932,-1.736540
B938,52.364780,-1.726874
B939,52.390673,-1.747683
B94,52.475365,-1.884163
B945,52.342000,-1.812000
B946,52.365560,-1.831434
B95,52.478247,-1.842415
B955,52.288624,-1.778111
B956,52.266453,-1.777753
B958,52.293996,-1.781061
B966,52.246319,-1.961771
B974,52.295969,-1.951993
B975,52.281384,-1.944752
B976,52.310851,-1.936722
B979,52.311857,-1.937630
B980,52.301509,-1.887799
B987,52.296013,-1.931142
B988,52.306351,-1.930568
B989,52.313357,-1.895147
B99,52.477997,-1.851951
B991,52.495952,-1.894214
BA10,51.378846,-2.355560
BA100,51.118169,-2.448251
BA11,51.377583,-2.357836
BA111,51.224664,-2.321750
BA112,51.238889,-2.315217
BA113,51.232294,-2.329853
BA114,51.220916,-2.324874
BA115,51.192402,-2.361336
BA116,51.282865,-2.273694
BA119,51.234289,-2.333892
BA12,51.387910,-2.364772
BA120,51.209612,-2.178463
BA122,51.204417,-2.178371
BA126,51.127662,-2.327120
BA127,51.201395,-2.247161
BA128,51.205368,-2.184587
BA129,51.203573,-2.182476
BA13,51.385036,-2.391420
BA132,51.257573,-2.196648
BA133,51.264610,-2.193309
BA134,51.270041,-2.119526
BA139,51.270282,-2.205990
BA14,51.392290,-2.386682
BA140,51.307829,-2.211825
BA144,51.320797,-2.205313
BA146,51.322200,-2.159584
BA147,51.312983,-2.200486
BA148,51.324454,-2.207267
BA149,51.314010,-2.224293
BA15,51.386247,-2.358637
BA151,51.340557,-2.240358
BA152,51.336525,-2.250802
BA155,51.336386,-2.251117
BA16,51.399487,-2.345386
BA160,51.114470,-2.735795
BA169,51.124521,-2.768834
BA17,51.401459,-2.295002
BA18,51.416298,-2.346606
BA19,51.398285,-2.406008
BA20,51.325526,-2.481456
BA201,50.939520,-2.636079
BA202,50.936192,-2.637683
BA209,50.941535,-2.639065
BA21,51.371048,-2.390712
BA213,50.946104,-2.638759
BA214,50.946558,-2.636486
BA215,50.956072,-2.614648
BA22,51.369686,-2.378389
BA227,51.020532,-2.605691
BA228,50.976282,-2.672687
BA229,50.905690,-2.666592
BA23,51.379823,-2.371518
BA24,51.384759,-2.354214
BA25,51.359758,-2.355787
BA26,51.392656,-2.322382
BA27,51.302658,-2.322712
BA28,51.315302,-2.430800
BA29,51.354000,-2.478000
BA32,51.298000,-2.461000
BA33,51.292000,-2.449000
BA34,51.260529,-2.505914
BA35,51.244944,-2.453781
BA39,51.291473,-2.446783
BA44,51.159729,-2.606054
BA45,51.184741,-2.554231
BA46,51.123114,-2.535832
BA49,51.190764,-2.547076
BA51,51.231568,-2.706682
BA52,51.210545,-2.646205
BA53,51.198085,-2.625693
BA59,51.206412,-2.653662
BA60,51.148252,-2.714987
BA68,51.150116,-2.631792
BA69,51.146810,-2.722670
BA77,51.090611,-2.521077
BA80,51.015607,-2.428201
BA90,51.057357,-2.409923
BA98,51.058589,-2.479438
BA99,51.056017,-2.411110
BB101,53.802788,-2.243659
BB102,53.813514,-2.197673
BB103,53.803878,-2.224017
BB104,53.786616,-2.206865
BB11,53.744592,-2.478630
BB111,53.786524,-2.246251
BB112,53.775452,-2.241027
BB113,53.788387,-2.236396
BB114,53.786245,-2.263081
BB115,53.786067,-2.274068
BB119,53.790929,-2.240888
BB12,53.747000,-2.450000
BB120,53.793909,-2.248070
BB126,53.792584,-2.274081
BB127,53.794671,-2.306535
BB128,53.801513,-2.316242
BB129,53.832551,-2.262824
BB13,53.753330,-2.450445
BB14,53.770548,-2.460962
BB15,53.747014,-2.482054
BB16,53.750067,-2.480719
BB17,53.750665,-2.483248
BB18,53.751672,-2.486126
BB185,53.920136,-2.193304
BB186,53.898186,-2.150090
BB189,53.920001,-2.182569
BB19,53.792715,-2.473804
BB21,53.741694,-2.494987
BB22,53.745306,-2.484309
BB23,53.736000,-2.474000
BB24,53.731261,-2.509567
BB25,53.727000,-2.524000
BB26,53.754170,-2.503551
BB27,53.758283,-2.512883
BB29,53.742931,-2.484904
BB30,53.715092,-2.476552
BB31,53.696647,-2.472376
BB32,53.692950,-2.468397
BB33,53.694670,-2.448910
BB39,53.695108,-2.467994
BB40,53.702005,-2.284443
BB44,53.688354,-2.338666
BB45,53.707528,-2.321505
BB46,53.701106,-2.299205
BB47,53.703830,-2.284714
BB48,53.723571,-2.286756
BB49,53.700860,-2.249582
BB50,53.747417,-2.385679
BB51,53.752524,-2.365404
BB52,53.743968,-2.355777
BB53,53.742558,-2.401448
BB54,53.756345,-2.393450
BB55,53.768000,-2.391000
BB56,53.770734,-2.350011
BB59,53.750059,-2.368764
BB67,53.783245,-2.414858
BB68,53.821038,-2.457202
BB70,53.874499,-2.393844
BB71,53.873000,-2.385000
BB72,53.866539,-2.408794
BB73,53.915474,-2.430921
BB74,53.934906,-2.262371
BB79,53.821000,-2.409000
BB80,53.856000,-2.173000
BB87,53.861399,-2.142933
BB88,53.838236,-2.128144
BB89,53.856981,-2.173583
BB90,53.834000,-2.206000
BB94,53.834115,-2.218268
BB940,53.915242,-2.138033
BB95,53.823584,-2.235455
BB96,53.871035,-2.219555
BB97,53.839790,-2.211718
BB98,53.845459,-2.207490
BB99,53.834187,-2.185918
BD100,53.841708,-1.700738
BD108,53.840563,-1.730168
BD109,53.831037,-1.730578
BD11,53.793399,-1.753347
BD111,53.751001,-1.660452
BD112,53.751677,-1.694811
BD12,53.793763,-1.754725
BD120,53.756415,-1.772006
BD127,53.749008,-1.745023
BD128,53.735634,-1.771906
BD129,53.731605,-1.775021
BD13,53.797183,-1.762297
BD131,53.769555,-1.838735
BD132,53.761792,-1.861836
BD133,53.786891,-1.883064
BD134,53.801176,-1.896932
BD135,53.823325,-1.900402
BD139,53.802636,-1.755843
BD14,53.796679,-1.747877
BD146,53.781048,-1.806048
BD15,53.793000,-1.747000
BD150,53.819285,-1.859764
BD157,53.798787,-1.827844
BD158,53.802284,-1.834207
BD159,53.811171,-1.853762
BD161,53.840390,-1.868372
BD162,53.864709,-1.851326
BD163,53.860242,-1.812752
BD164,53.851635,-1.833526
BD169,53.802636,-1.755843
BD175,53.852567,-1.767015
BD176,53.847596,-1.757330
BD177,53.836463,-1.781905
BD181,53.837715,-1.756035
BD182,53.824037,-1.765654
BD183,53.832859,-1.787713
BD184,53.837818,-1.791183
BD189,53.802636,-1.755843
BD19,53.802000,-1.756000
BD193,53.727747,-1.715051
BD194,53.736737,-1.680366
BD195,53.718754,-1.717006
BD196,53.722943,-1.728662
BD199,53.723149,-1.713842
BD200,53.913842,-1.940576
BD205,53.884468,-1.870120
BD206,53.876262,-1.921586
BD207,53.895484,-1.984914
BD208,53.913766,-2.009539
BD209,53.932991,-1.996826
BD21,53.820466,-1.759613
BD211,53.860753,-1.914727
BD212,53.867416,-1.919078
BD213,53.873865,-1.901773
BD214,53.864821,-1.898844
BD215,53.862547,-1.909873
BD219,53.865143,-1.914125
BD22,53.818975,-1.726145
BD220,53.890789,-2.031262
BD226,53.869475,-1.935300
BD227,53.846487,-1.941674
BD228,53.836515,-1.951307
BD229,53.810782,-1.950881
BD23,53.813503,-1.715852
BD230,53.957720,-2.025738
BD231,53.960934,-2.018406
BD232,53.957482,-2.014304
BD233,53.931184,-2.147147
